dts,rr10,rr25,bf10,bf25,S,F,r,q
2009-11-17,10.65,5.845,2.68,1,1.7117,1.7224,3.766,0.275
2009-11-18,10.76,5.8225,2.91,1,1.7255,1.7372,10.768,0.23
2009-11-19,10.28,5.6,2.825,0.97,1.7268,1.738,7.895,0.275
2009-11-20,10.2275,5.585,2.795,0.97,1.7314,1.7422,4.153,0.275
2009-11-23,9.79,5.38,2.59,0.935,1.7265,1.7374,7.211,0.275
2009-11-24,9.7925,5.3575,2.66,0.945,1.7313,1.7403,5.546,0.275
2009-11-25,9.31,5.1,2.545,0.89,1.7221,1.7322,4.341,0.278
2009-11-26,9.705,5.3275,2.605,0.925,1.7469,1.7576,7.21,0.3
2009-11-27,9.815,5.3825,2.56,0.915,1.7408,1.7521,9.556,0.275
2009-11-30,8.72,5.345,2.87,0.99,1.7557,1.7662,12.6,0.275
2009-12-01,9.915,5.26,2.98,0.955,1.7207,1.7307,3.912,0.275
2009-12-02,8.17,4.805,2.775,0.945,1.7186,1.7278,7.393,0.275
2009-12-03,8.14,4.63,2.6,0.885,1.7103,1.7197,8.298,0.275
2009-12-04,8.745,4.705,2.83,0.895,1.7315,1.7414,10.355,0.275
2009-12-07,8.455,4.665,2.565,0.87,1.7336,1.7428,10.593,0.275
2009-12-08,8.945,4.855,2.66,0.89,1.762,1.7709,4.405,0.275
2009-12-09,8.9525,4.8825,2.5525,0.8775,1.7622,1.7716,5.795,0.275
2009-12-10,8.37,4.8425,2.975,0.95,1.7567,1.7675,3.144,0.275
2009-12-11,8.38,4.75,2.59,0.885,1.7585,1.7689,11.514,0.275
2009-12-14,8.5875,4.665,2.6475,0.8975,1.7465,1.7561,8.225,0.275
2009-12-15,8.405,4.52,2.975,0.905,1.752,1.7627,7.117,0.275
2009-12-16,7.3825,4.275,2.8125,0.9225,1.7563,1.7654,8.698,0.275
2009-12-17,8.3575,4.49,2.8775,0.8775,1.7818,1.7921,3.25,0.315
2009-12-18,8.3875,4.5,2.8975,0.8825,1.7802,1.7906,3.08,0.265
2009-12-21,8.3625,4.48,2.9075,0.8875,1.7846,1.7956,6.311,0.27
2009-12-22,8.1625,4.39,2.6075,0.8725,1.7809,1.7908,4.637,0.265
2009-12-23,7.7775,4.205,2.64,0.89,1.76,1.7727,12.512,0.27
2009-12-24,8.4475,4.3125,3.08,0.93,1.763,1.7655,13.462,0.235
2009-12-28,7.7625,4.1925,2.59,0.875,1.7418,1.7535,5.322,0.27
2009-12-29,7.9325,4.23,2.9125,0.8625,1.7407,1.7522,13.57,0.27
2009-12-30,7.62,4.0625,2.875,0.93,1.7416,1.7469,6.186,0.265
2010-01-04,7.5275,4.0825,2.5925,0.8625,1.72,1.7311,5.634,0.265
2010-01-05,7.3725,3.995,2.6275,0.8625,1.7306,1.7429,4.017,0.265
2010-01-06,6.9625,3.8225,2.6775,0.8275,1.731,1.741,5.618,0.265
2010-01-07,7.2875,3.655,3.16,0.875,1.7465,1.7567,6.564,0.265
2010-01-08,6.7275,3.505,2.76,0.885,1.7264,1.7378,10.082,0.265
2010-01-11,6.6525,3.57,2.5275,0.8275,1.7373,1.7489,7.827,0.265
2010-01-12,7.2625,3.58,2.9025,0.8275,1.7484,1.7589,9.33,0.255
2010-01-13,6.4875,3.38,2.665,0.8025,1.7569,1.767,6.86,0.265
2010-01-14,6.3,3.335,2.705,0.79,1.7602,1.7709,8.507,0.255
2010-01-15,6.34,3.3775,2.4125,0.7675,1.7723,1.782,9.503,0.265
2010-01-18,6.75,3.39,2.6575,0.8675,1.7643,1.7773,5.256,0.255
2010-01-19,5.865,3.155,2.105,0.73,1.7701,1.78,11.567,0.265
2010-01-20,5.8775,3.1975,2.06,0.72,1.7888,1.7984,3.091,0.255
2010-01-21,6.4075,3.37,2.1675,0.73,1.803,1.8128,9.335,0.255
2010-01-22,6.385,3.4025,2.295,0.73,1.8247,1.8361,11.53,0.265
2010-01-25,6.64,3.375,2.4025,0.765,1.821,1.831,5.472,0.255
2010-01-26,6.7375,3.465,2.475,0.845,1.8353,1.8458,4.25,0.25
2010-01-27,6.845,3.5625,2.485,0.83,1.858,1.8668,3.382,0.255
2010-01-28,6.46,3.445,2.2325,0.7525,1.872,1.882,7.693,0.265
2010-01-29,6.61,3.3075,2.555,0.78,1.895,1.9041,6.528,0.265
2010-02-01,5.7,2.98,2.1275,0.6725,1.8481,1.8571,9.109,0.265
2010-02-02,4.69,2.5525,2.1775,0.6725,1.8297,1.839,5.562,0.265
2010-02-03,5.905,2.8725,2.6875,0.7475,1.8525,1.8614,6.484,0.265
2010-02-04,5.3125,2.81,2.1875,0.665,1.8769,1.8837,7.001,0.265
2010-02-05,6.3425,3.045,2.83,0.77,1.8793,1.8897,8.079,0.265
2010-02-08,6.0875,3.0375,2.4675,0.75,1.8755,1.886,8.616,0.265
