X,USRINDEX Index,CONSSENT Index,LEI CEXP Index,ADS BCI Index,CFNAI Index,COI TOTL Index,LEI LCI Index,LEI YOY Index,OUSTDIFF Index,PHFFANX0 Index,S5FINL Index,MOODCAVG Index,MOODCBAA Index, MOODCAAA Index,USGG10YR Index,LEI BP Index,NHSLNFS Index,NHSLTOT Index,NMCMFUS Index,NAPMNEWO Index, NAPMINV Index,NAPMPMI Index,CRB RIND Index,ECRSUSCP Index,IPVPTRMH Index,LEI NWCN Index,USCRWTIC Index,DXY Index,GDP CYOY Index,LEI M2 Index,M1% YOY Index,CPI YOY Index,SPX Index,LEI STKP Index,TRAN Index,INJCJC4 Index,LEI AVGW Index,LEI WKIJ Index,NFP T Index,OUST#NEG Index,USESTEMP Index,DLJHYTW Index,LEI IRTE Index,USGG3M Index,USGG5YR Index
1/1/77,0,NA,84.8,0.2481,0.0098,53.1,NA,7.5,NA,NA,NA,8.41,9.08,7.96,7.402,1607,354,825,8.73,57.2,51.4,54.8,NA,NA,NA,93.89,NA,105.54,NA,3322.1,6.9,5.2,102.03,103.81,226.62,407.25,39.4,407.1,80692,NA,NA,NA,2.6,4.72,6.504
2/1/77,0,NA,84.2,1.3581,1.514,53.5,NA,6.6,NA,NA,NA,8.48,9.12,8.04,7.802,1734,357,839,8.65,56.8,51.9,55,NA,NA,NA,95.07,NA,105.26,NA,3331.4,7.1,5.9,99.82,100.96,221.9,450.75,40.2,450.3,80988,NA,NA,NA,2.71,4.7,6.984
3/1/77,0,NA,84,1.3125,1.7635,53.8,NA,7.7,NA,10.65,NA,8.51,9.12,8.1,7.422,1844,359,872,8.7,63.5,54.7,58.4,NA,NA,NA,98.75,NA,105.03,3.2,3345.6,7.2,6.4,98.42,100.57,222.97,360.25,40.3,356.9,81391,NA,NA,NA,2.77,4.54,6.944
4/1/77,0,NA,83.8,1.0289,1.0691,54.1,NA,7.5,NA,NA,NA,8.49,9.07,8.04,7.452,1844,362,799,8.78,60.3,54.4,56.9,NA,NA,NA,96.07,NA,104.39,NA,3357.2,7.2,7,98.44,99.05,234.51,371.75,40.4,371.3,81729,NA,NA,NA,2.64,4.69,6.904
5/1/77,0,NA,83.6,1.0293,1.1491,54.3,NA,7.3,NA,NA,NA,8.47,9.01,8.05,7.382,1853,364,807,8.85,64.5,53.2,59.7,NA,NA,NA,97.17,NA,104.52,NA,3366.4,7.2,6.7,96.12,98.76,235.83,380.25,40.5,379.6,82089,NA,NA,NA,2.11,5.03,6.874
6/1/77,0,NA,82.9,0.8174,1.1196,54.6,NA,7.8,NA,1.56,NA,8.38,8.91,7.95,7.202,1946,368,805,8.95,58.1,52.6,56.8,NA,NA,NA,98.02,NA,103.84,4.5,3372.1,7.6,6.9,100.48,99.29,238.8,361.25,40.5,357.4,82488,NA,NA,NA,1.89,4.98,6.704
7/1/77,0,NA,82.2,0.3765,0.6678,54.9,NA,6.9,NA,NA,NA,8.33,8.87,7.94,7.422,1874,375,755,8.93,58.9,52,57.7,NA,NA,NA,97.76,NA,102.86,NA,3379,7.7,6.8,98.85,100.18,229.3,364.25,40.4,364.1,82836,NA,NA,NA,1.91,5.4,7.034
8/1/77,0,NA,81.5,0.5189,0.4604,55,NA,7,NA,NA,NA,8.34,8.82,7.98,7.112,1978,387,808,8.93,58.8,50,54.9,NA,NA,NA,98.58,NA,103.64,NA,3391.5,7.8,6.6,96.77,97.75,215.23,367.25,40.4,366.7,83074,NA,NA,NA,1.5,5.56,6.944
9/1/77,0,NA,79.6,0.675,0.8509,55.3,NA,6.3,NA,4.46,NA,8.31,8.8,7.92,7.412,1860,388,842,8.9,57,44.8,53.9,NA,NA,NA,98.57,NA,103.21,5.8,3403.8,8.3,6.6,96.53,96.23,215.48,362.25,40.4,361.5,83532,NA,NA,NA,1.2,5.89,7.114
10/1/77,0,NA,77.8,0.3837,0.65,55.6,NA,6.3,NA,NA,NA,8.42,8.89,8.04,7.622,1953,396,819,8.9,57.1,47.9,55.4,NA,NA,NA,98.15,NA,100.96,NA,3409.2,8.1,6.4,92.34,93.74,206.08,361.75,40.6,361.5,83794,NA,NA,NA,1.05,6.18,7.444
11/1/77,0,NA,75.9,0.1963,0.8461,55.8,NA,5.6,NA,NA,NA,8.48,8.95,8.08,7.552,1969,400,829,8.93,59.2,48,56.1,NA,NA,NA,100.03,NA,100.37,NA,3412.3,8.2,6.7,94.83,94.28,214.5,353.5,40.5,353,84173,NA,NA,NA,1.07,6.04,7.364
12/1/77,0,NA,75.8,-0.6649,1.2908,56.1,NA,5.1,NA,4.14,NA,8.54,8.99,8.19,7.782,1949,402,835,9,60.7,48.9,59.8,NA,NA,NA,100.99,NA,96.44,5,3416.8,8.1,6.7,95.1,93.82,217.18,357.75,40.4,357.4,84408,NA,NA,NA,1.13,6.13,7.554
1/1/78,0,83.7,75.7,-0.6186,-1.3941,55.8,NA,4.3,NA,NA,NA,8.74,9.17,8.41,7.942,1812,404,795,9.05,60.6,54,57.4,NA,NA,NA,96.18,NA,96.64,NA,3421.6,8.5,6.8,89.25,90.25,208.56,351,39.5,350.6,84595,NA,NA,NA,1.26,6.42,7.724
2/1/78,0,84.3,77.2,1.1271,1.3731,56.1,NA,4.3,NA,NA,NA,8.78,9.2,8.47,8.042,1808,404,791,9.15,56.2,54,55.9,NA,NA,NA,98.69,NA,94.6,NA,3420.8,7.6,6.4,87.04,88.98,201.4,383.25,39.9,381.5,84948,NA,NA,NA,1.25,6.42,7.864
3/1/78,0,78.8,69.5,2.484,1.9985,56.6,NA,3.8,NA,3.42,NA,8.8,9.22,8.47,8.152,1873,404,814,9.25,56.6,44,55,NA,NA,NA,100.13,NA,93.84,4.1,3416.3,7.4,6.6,89.21,88.82,207.15,343.5,40.5,342.9,85461,NA,NA,NA,1.25,6.47,7.974
