sec,date,sales,cur.asset,cash.and.st.invest,cur.liab,tot.debt,tot.asset,tot.invest,tot.liab,lt.debt,st.debt,lt.invest,st.invest,pref.stk,accts.rec,inventory,net.fixed.asset,cash,earnings
CQP US Equity,12/31/14,268.698,486.52,248.83,214.756,8991.333,10387.515,0,9256.786,8991.333,0,0,0,0,0.31,4.293,8978.356,248.83,-410.036
CQP US Equity,12/31/15,270.028,493.475,146.221,2065.835,11854.878,12996.327,0,12283.396,10178.681,1676.197,0,0,0,0.742,16.667,11931.602,146.221,-318.891
PEGI US Equity,12/31/14,265.493,197.088,101.656,250.199,1463.858,2795.287,0,1630.553,1304.165,159.693,0,0,0,35.759,0,2377.051,101.656,-31.29
PEGI US Equity,12/31/15,320.021,203.329,94.808,520.687,1770.886,3829.592,0,2053.83,1371.742,399.144,0,0,0,45.292,0,3294.62,94.808,-32.533
KOS US Equity,12/31/14,856.584,1010.476,554.831,448.771,794.269,2972.766,14.174,1633.807,794.269,0,14.174,0,0,122.323,55.354,1784.846,554.831,279.37
KOS US Equity,12/31/15,488.346,734.148,275.004,456.741,860.878,3203.05,37.687,1877.537,860.878,0,37.687,0,0,103.15,85.173,2322.839,275.004,-69.836
ARIA US Equity,12/31/14,105.413,385.642,352.688,89.998,352.181,603.116,0,522.315,345.474,6.707,0,0,0,8.397,0.979,203.027,352.688,-162.602
ARIA US Equity,12/31/15,118.804,275.197,242.295,132.284,443.092,546.692,11.407,649.833,429.22,13.872,0,11.407,0,15.686,1.096,254.082,230.888,-231.158
NEE US Equity,12/31/14,17021,6944,577,9663,29024,74929,1399,54761,24367,4657,1399,0,0,1805,1292,55705,577,2466
NEE US Equity,12/31/15,17485,6795,571,10107,29687,82479,1786,59367,26681,3006,1786,0,0,1784,1259,61386,571,2752
GBTZY US Equity,12/31/14,698.224,3282.345,2618.645,997.845,2218.851,16703.344,493.554,3990.964,2018.522,200.329,493.554,0,0,NA,0,10924.219,2618.645,541.316
GBTZY US Equity,12/31/15,745.109,6810.422,1136.696,4844.229,4489.099,22464.515,1052.929,9528.854,3534.676,954.423,1052.929,0,0,NA,0,12136.084,1136.696,671.193
D US Equity,12/31/14,12436,5615,318,7198,25955,54327,284,42370,21805,4150,284,0,0,1514,1410,36270,318,1310
D US Equity,12/31/15,11683,4191,607,8120,28951,58797,271,45195,23616,5335,271,0,0,1200,1348,41554,607,1899
SGEN US Equity,12/31/14,286.758,407.986,313.413,125.893,0,458.965,256.486,248.131,0,0,0,256.486,0,39.248,43.451,46.129,56.927,-76.141
SGEN US Equity,12/31/15,336.802,771.059,649.651,134.266,0,895.095,610.456,209.184,0,0,63.06,547.396,0,52.93,56.963,49.598,102.255,-120.486
SJQIY US Equity,12/31/14,1711.9728,3420.6917,543.8993,3212.0172,2970.7798,12415.7697,1545.5649,6149.4764,1922.1011,1048.6787,1545.5649,0,0,143.4489,2222.0534,7296.3485,543.8993,429.7338
SJQIY US Equity,12/31/15,1321.3366,3463.358,1040.921,3652.0273,4584.0201,17701.6608,4014.7918,8603.2332,3039.7495,1544.2706,4014.7918,0,0,83.18,2305.6476,9974.3373,1040.921,471.5195
TBPH US Equity,12/31/14,11.688,275.37,254.611,41.256,0,337.771,216.795,47.984,0,0,51.399,165.396,0,0.289,12.546,9.663,89.215,-237.038
TBPH US Equity,12/31/15,42.126,237.472,172.434,49.47,0,300.116,102.587,57.051,0,0,42.86,59.727,0,1.922,10.005,9.873,112.707,-182.219
TSLA US Equity,12/31/14,3198.356,3180.073,1905.713,2165.362,2488.08,5830.667,0,4918.957,1818.785,669.295,0,0,0,226.604,953.675,1829.267,1905.713,-294.037
TSLA US Equity,12/31/15,4046.024,2791.568,1196.908,2858.319,2715.586,8092.46,0,7003.516,2040.375,675.211,0,0,0,168.965,1277.838,3403.334,1196.908,-888.663
TXMD US Equity,12/31/14,15.0262,56.2353,51.3616,10.6904,0,59.0795,0,10.6904,0,0,0,0,0,2.1542,1.1821,0.0633,51.3616,-54.2173
TXMD US Equity,12/31/15,20.1428,70.6801,64.7064,10.6657,0,73.7288,0,10.6657,0,0,0,0,0,3.0497,0.6902,0.1986,64.7064,-85.077
LNG US Equity,12/31/14,267.954,2258.877,1747.583,232.475,9806.084,12573.683,0,10072.166,9806.084,0,0,0,0,4.419,7.786,9246.753,1747.583,-547.932
