ticker,x,n,D_s,D_l,vol,r
A UN Equity,47.08,325.5217,0,1655,25.02412973,0.5
AA UN Equity,10.38,1315.375,59,9044,51.30735909,0.5
AAL UW Equity,33.88,529.9134,2231,18330,40.82464533,0.5
AAP UN Equity,166.26,73.55605,0.598,1213.161,25.48426162,0.5
AAPL UW Equity,104.41,5388.443,10999,53463,26.7802569,0.5
ABBV UN Equity,66.41,1617.359,2431,29240,29.13528383,0.5
ABC UN Equity,89.21,215.8547,0,3493.048,22.57233486,0.5
ABT UN Equity,45.005,1469.152,3130,5871,26.82535876,0.5
ACN UN Equity,112.57,622.5421,1.848,25.587,23.49163559,0.5
ADBE UW Equity,95.94,498.2909,0,1907.231,27.82034244,0.5
ADI UW Equity,62.82,307.3498,374.839,498.497,26.44265994,0.5
ADM UN Equity,43.03,587.5821,98,5779,31.48884219,0.5
ADP UW Equity,88.27,455.5348,0,2007.7,19.24607076,0.5
ADS UN Equity,222.97,58.93977,1419.649,4692.852,40.40981671,0.5
ADSK UW Equity,57.79,224.6561,0,1487.7,36.52963841,0.5
AEE UN Equity,52.06,242.6348,696,6880,17.89732295,0.5
AEP UN Equity,68.79,491.7095,2631.8,17740.9,17.89676199,0.5
AES UN Equity,12.12,659.0011,2529,18278,31.00942036,0.5
AET UN Equity,115.53,350.6,327.6,7828,29.13377502,0.5
AFL UN Equity,71.41,413.987,0,5011,18.97480822,0.5
AGN UN Equity,253.79,395.5569,2432.8,40293.4,35.68667285,0.5
AIG UN Equity,54.17,1119.032,1619,27731,23.70207544,0.5
AIV UN Equity,45.35,156.6135,27,3846.16,22.10615927,0.5
AJG UN Equity,48.95,177.031,245,2075,19.444886,0.5
AKAM UW Equity,49.805,175.5918,0,624.288,44.49189773,0.5
ALB UN Equity,84.16,112.2973,677.345,3174.674,33.71107329,0.5
ALK UN Equity,65.21,123.2526,115,571,32.44227836,0.5
ALL UN Equity,68.1,374.3672,0,5124,16.60509577,0.5
ALLE UN Equity,71.8,95.89796,65.6,1479.8,23.77516301,0.5
ALXN UW Equity,131.55,224.248,175,3432.557,42.49605266,0.5
AMAT UW Equity,25.875,1089.144,1200,3342,32.40598266,0.5
AME UN Equity,46.51,233.4101,386.075,1556.045,22.45889157,0.5
AMG UN Equity,141.44,56.68655,0,2507.3,41.93105817,0.5
AMGN UW Equity,174.26,748.3609,2250,29306,24.87702373,0.5
AMP UN Equity,92.95,161.4209,200,10246,33.42840624,0.5
AMT UN Equity,116.66,425.4892,50.202,17068.807,20.33959471,0.5
AMZN UW Equity,760.82,474.0735,3364,14183,33.24881271,0.5
AN UN Equity,49.44,102.0892,4340,1753.7,35.55992222,0.5
ANTM UN Equity,126.09,263.171,540,15324.5,28.45148555,0.5
AON UN Equity,107.98,265.6,562,5175,19.04956312,0.5
APA UN Equity,49.23,378.5336,0,8777,53.58601695,0.5
APC UN Equity,50.84,510.4575,33,15718,56.08155142,0.5
APD UN Equity,148.3,216.5497,1929.9,3949.1,22.02290617,0.5
APH UN Equity,58.88,307.9271,0.3,2813.2,19.16683602,0.5
ATVI UW Equity,39.7,739.8383,0,4079,34.50937018,0.5
AVB UN Equity,185.95,137.1625,3845.674,2611.274,20.2126018,0.5
AVGO UW Equity,163.28,395.5186,46,3903,34.22484113,0.5
AVY UN Equity,77.87,89.17597,95.3,963.6,23.78115637,0.5
AWK UN Equity,82.09,177.7145,682,5874,19.44289249,0.5
AXP UN Equity,63.49,923.7809,4812,48061,26.1828613,0.5
AYI UN Equity,258.73,43.88708,0,352.4,33.89862797,0.5
AZO UN Equity,804.69,29.23203,40.528,4624.876,20.64857945,0.5
BA UN Equity,131.83,623.8259,1234,8730,28.19554039,0.5
BAC UN Equity,14.22,10204.8,269352,236764,35.35349193,0.5
BAX UN Equity,48.33,552.2627,2585,3935,21.58108532,0.5
BBBY UW Equity,44.1,154.4622,0,1500,26.49413033,0.5
BBT UN Equity,36.4,814.5002,3593,23769,25.69392037,0.5
BBY UN Equity,32.71,322.7527,440,1339,33.30157103,0.5
BCR UN Equity,221.35,73.45462,250.2,1147.8,18.04293887,0.5
BDX UN Equity,175.48,212.202,1452,11370,18.29343988,0.5
BF/B UN Equity,96.78,112.4181,271,1230,20.96766299,0.5
BHI UN Equity,45.9,427.9014,151,3890,45.88790773,0.5
BIIB UW Equity,298.94,219.1208,4.8,6521.5,37.13834134,0.5
BK UN Equity,38.77,1077.083,38228,21547,28.80426924,0.5
BLK UN Equity,365.91,163.3667,0,4930,29.45851431,0.5
BLL UN Equity,70.07,174.0618,77.3,5054.2,22.43054282,0.5
BMY UN Equity,75.13,1670.859,139,6550,22.27651347,0.5
BRK/B UN Equity,143.38,1255.599,26550,57739,17.37897327,0.5
BSX UN Equity,24.1,1356.867,3,5674,25.61297117,0.5
BWA UN Equity,31.91,214.2658,441.5,2124.6,41.59651175,0.5
BXP UN Equity,140.59,153.6113,5289.317,3747.196,20.50324253,0.5
C UN Equity,42.81,2905.374,149567,201275,36.39227218,0.5
CA UW Equity,33.77,418.9487,6,1947,22.3122268,0.5
CAG UN Equity,46.81,438.7201,610.2,4917.8,19.42043146,0.5
CAH UN Equity,84.84,325.8153,587,4952,25.59696717,0.5
CAT UN Equity,81.4,583.8916,12846,25247,29.88090384,0.5
CB UN Equity,124.91,464.4785,0,9756,19.30339367,0.5
CBG UN Equity,28.29,335.4359,1785.225,2645.111,38.7161714,0.5
CBS UN Equity,52.01,406.8748,222,8226,27.69420562,0.5
CCI UN Equity,96.93,337.5597,106.219,12143.019,17.48742652,0.5
CCL UN Equity,45.37,550.8913,1374,7413,30.80146644,0.5
CELG UW Equity,113.45,775.1147,0,14250.4,35.82164916,0.5
CERN UW Equity,61.59,338.0818,41.797,563.353,25.80165778,0.5
CF UN Equity,24.62,233.0936,0,5592.7,51.38811041,0.5
CFG UN Equity,22.065,528.9802,2630,9886,34.9893923,0.5
CHD UN Equity,98.26,128.3301,357.2,692.8,17.95525977,0.5
